surah,verse,word_position,madani1,madani2,makki,basari,dimashqi,kufi,himsi,surah_name,last_3_words
47,4,6,-1,-1,-1,-1,-1,-1,1,محمد,فضرب الرقاب
47,4,11,-1,-1,-1,-1,-1,-1,1,محمد,فشدوا الوثاق
47,4,20,1,1,1,1,1,-1,-1,محمد,تَضَعَ ٱلۡحَرۡبُ أَوۡزَارَهَا
47,4,26,-1,-1,-1,-1,-1,-1,1,محمد,لانتصر منهم
47,5,3,1,1,1,1,1,1,-1,محمد,سيهديهم ويصلح بالهم
47,7,9,1,1,1,1,1,1,-1,محمد,ينصركم ويثبت أقدامكم
47,15,22,-1,-1,-1,1,-1,-1,1,محمد,خَمۡرࣲ لَّذَّةࣲ لِّلشَّٰرِبِینَ
52,1,1,-1,-1,-1,1,1,1,1,الطور,وَٱلطُّورِ
52,13,6,-1,-1,-1,-1,1,1,1,الطور,نَارِ جَهَنَّمَ دَعًّا
53,28,16,-1,-1,-1,-1,-1,1,-1,النجم,مِنَ ٱلۡحَقِّ شَیۡـࣰٔا
53,29,4,-1,-1,-1,-1,1,-1,1,النجم,عَن مَّن تَوَلَّىٰ
53,29,11,1,1,1,1,-1,1,1,النجم,إِلَّا ٱلۡحَیَوٰةَ ٱلدُّنۡیَا
55,1,1,-1,-1,-1,-1,1,1,1,الرحمن,ٱلرَّحۡمَٰنُ
55,3,2,-1,-1,1,1,1,1,1,الرحمن,خَلَقَ ٱلۡإِنسَٰنَ
55,10,3,1,1,-1,1,1,1,1,الرحمن,وَٱلۡأَرۡضَ وَضَعَهَا لِلۡأَنَامِ
55,35,5,1,1,1,-1,-1,-1,-1,الرحمن,شُوَاظࣱ مِّن نَّارࣲ
55,43,6,1,1,1,-1,1,1,1,الرحمن,یُكَذِّبُ بِهَا ٱلۡمُجۡرِمُونَ
56,8,2,1,1,1,1,1,-1,1,الواقعة,فَأَصۡحَٰبُ ٱلۡمَیۡمَنَةِ
56,9,2,1,1,1,1,1,-1,1,الواقعة,وَأَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ
56,15,3,1,1,1,-1,-1,1,1,الواقعة,عَلَىٰ سُرُرࣲ مَّوۡضُونَةࣲ
56,18,2,-1,1,1,-1,-1,-1,,الواقعة,بِأَكۡوَابࣲ وَأَبَارِیقَ
56,22,2,1,-1,-1,-1,-1,1,1,الواقعة,وَحُورٌ عِینࣱ
56,25,6,-1,1,-1,1,1,1,-1,الواقعة,لَغۡوࣰا وَلَا تَأۡثِیمًا
56,27,2,1,-1,1,1,1,-1,1,الواقعة,وَأَصۡحَٰبُ ٱلۡیَمِینِ
